"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80"
"1" 0 0 0 0 0.027027027027027 0 0 0.027027027027027 0 0 0.378378378378378 0.027027027027027 0 0 0 0 0 0 0 0.027027027027027 0 0 0 0.027027027027027 0 0.027027027027027 0 0 0 0 0 0 0.027027027027027 0 0 0 0 0.0540540540540541 0.027027027027027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.027027027027027 0 0 0 0 0.027027027027027 0 0.0540540540540541 0 0.108108108108108 0 0 0 0 0 0.0810810810810811 0.027027027027027 0 0 0 0 0.027027027027027
"2" 0.00793650793650794 0 0.0158730158730159 0.00793650793650794 0.142857142857143 0.0238095238095238 0.00793650793650794 0 0 0.0238095238095238 0 0 0 0.00793650793650794 0.0158730158730159 0.00793650793650794 0 0 0.00793650793650794 0.00793650793650794 0 0 0 0 0 0.0238095238095238 0 0 0.0396825396825397 0 0 0.0158730158730159 0 0.206349206349206 0.00793650793650794 0.00793650793650794 0 0 0 0 0 0 0 0 0 0.00793650793650794 0.00793650793650794 0 0 0 0 0.00793650793650794 0 0 0.00793650793650794 0 0.0317460317460317 0 0.0873015873015873 0.00793650793650794 0.0396825396825397 0.00793650793650794 0 0.0158730158730159 0.0158730158730159 0.0555555555555556 0 0.00793650793650794 0.00793650793650794 0 0 0.00793650793650794 0.00793650793650794 0.0476190476190476 0.0238095238095238 0 0 0.0158730158730159 0 0.00793650793650794
"3" 0 0 0 0 0 0.0344827586206897 0 0 0 0.0344827586206897 0 0 0 0.206896551724138 0 0.172413793103448 0 0 0 0 0 0.0344827586206897 0 0 0 0 0 0.103448275862069 0.0689655172413793 0 0 0 0 0 0.103448275862069 0 0.103448275862069 0 0 0 0.0344827586206897 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0344827586206897 0 0 0 0 0.0344827586206897 0 0 0 0 0 0 0 0 0.0344827586206897 0 0 0 0 0 0
"4" 0 0 0.0476190476190476 0 0 0.0158730158730159 0 0 0.0158730158730159 0 0 0.126984126984127 0 0 0 0.0158730158730159 0 0 0.126984126984127 0 0 0 0 0 0 0 0 0.0952380952380952 0 0 0 0 0.0158730158730159 0 0 0 0.142857142857143 0.0317460317460317 0.0476190476190476 0 0 0 0 0 0 0.0158730158730159 0 0 0 0.0158730158730159 0.0158730158730159 0.0158730158730159 0 0 0 0 0.0158730158730159 0.0158730158730159 0.0158730158730159 0 0 0 0 0 0 0 0 0.0158730158730159 0.0158730158730159 0 0.142857142857143 0 0 0.0158730158730159 0 0 0 0.0158730158730159 0 0
"5" 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.291666666666667 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0416666666666667 0 0.0416666666666667 0 0.208333333333333 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0833333333333333 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0.0962962962962963 0 0.00740740740740741 0 0 0 0 0.0296296296296296 0.0148148148148148 0 0.00740740740740741 0.00740740740740741 0.00740740740740741 0.0444444444444444 0.0148148148148148 0.00740740740740741 0 0 0 0 0 0.0666666666666667 0 0 0 0.00740740740740741 0 0.0222222222222222 0.214814814814815 0.00740740740740741 0 0 0 0.00740740740740741 0.0148148148148148 0.00740740740740741 0.00740740740740741 0 0.0444444444444444 0 0 0.0296296296296296 0.0148148148148148 0.00740740740740741 0 0.00740740740740741 0.0148148148148148 0.00740740740740741 0 0 0.0518518518518519 0.0222222222222222 0.0148148148148148 0.0518518518518519 0.00740740740740741 0.0148148148148148 0.00740740740740741 0 0.0148148148148148 0 0 0.0518518518518519 0 0 0.0222222222222222 0 0 0 0 0.00740740740740741 0.00740740740740741 0 0.00740740740740741
"7" 0 0 0.015748031496063 0 0 0.031496062992126 0 0 0 0.047244094488189 0.0078740157480315 0 0.015748031496063 0 0 0.015748031496063 0.0078740157480315 0 0.0078740157480315 0 0 0 0 0 0 0 0 0 0.0236220472440945 0 0.0393700787401575 0 0 0.0078740157480315 0 0.0708661417322835 0 0.181102362204724 0.015748031496063 0 0 0.0078740157480315 0 0 0 0 0 0.015748031496063 0.0078740157480315 0 0 0 0 0 0 0 0.0078740157480315 0 0 0 0 0.015748031496063 0 0.0078740157480315 0.0236220472440945 0.0708661417322835 0 0.0551181102362205 0.0866141732283465 0 0.015748031496063 0 0 0.102362204724409 0.0551181102362205 0 0.015748031496063 0 0.0078740157480315 0.015748031496063
"8" 0 0 0.0303030303030303 0 0.0303030303030303 0.0303030303030303 0 0 0 0.0303030303030303 0.0606060606060606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0606060606060606 0.0606060606060606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.454545454545455 0 0.0303030303030303 0 0 0 0 0.0606060606060606 0 0.151515151515152
"9" 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0277777777777778 0 0 0.0833333333333333 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.0277777777777778 0.166666666666667 0 0 0 0 0 0 0 0.0277777777777778 0 0.0555555555555556 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0.0277777777777778 0 0 0 0.0277777777777778 0 0.0277777777777778 0.0833333333333333 0 0.0277777777777778 0.0277777777777778 0 0 0.0555555555555556 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0.0588235294117647 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0588235294117647 0 0 0 0 0 0.0588235294117647 0 0 0 0 0 0 0 0 0 0 0 0.117647058823529 0 0 0.0588235294117647 0 0 0 0 0 0 0 0.0588235294117647 0 0 0 0 0 0 0 0 0 0 0.117647058823529 0 0.470588235294118
